Model,Accuracy,F1
Logistic Regression,0.7886178861788617,0.8586956521739131
KNN,0.7723577235772358,0.8461538461538461
SVM,0.7886178861788617,0.8586956521739131
Decision Tree,0.7235772357723578,0.7976190476190477
Random Forest,0.7723577235772358,0.8461538461538461
